"Source:","/home/david/Documents/WaterChangeSystem/KiCADProjects/WaterChangeCircuits/WaterChangeCircuits.sch"
"Date:","Sat 29 May 2021 09:29:03 AM CDT"
"Tool:","Eeschema 5.1.10-88a1d61d58~88~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","120"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","U28","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U29","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U30","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U31","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U32","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U33","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U34","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U35","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U36","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U37","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U38","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U39","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U40","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U41","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U42","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U43","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U44","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U45","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U46","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U47","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U48","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"
"","","U49","TLP3542","Relay_SolidState:TLP3542","Package_DIP:DIP-5-6_W7.62mm","https://toshiba.semicon-storage.com/info/docget.jsp?did=1284&prodName=TLP3542"



"Collated Components:"

